name,type,category,fdc_id,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugars_g,water_g,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg
Watermelon,fruit,Melon,167765,30.0,0.61,0.15,7.55,0.4,6.2,91.45,28.0,0.033,0.021,0.178,0.221,0.045,3.0,0.0,8.1,0.0,0.05,,7.0,0.24,10.0,11.0,112.0,1.0,0.1,0.042,0.038,0.4
Cantaloupe,fruit,Melon,169092,34.0,0.84,0.19,8.16,0.9,7.86,90.15,169.0,0.041,0.019,0.734,0.105,0.072,21.0,0.0,36.7,0.0,0.05,,9.0,0.21,12.0,15.0,267.0,16.0,0.18,0.041,0.041,0.4
Honeydew,fruit,Melon,169911,36.0,0.54,0.14,9.09,0.8,8.12,89.82,3.0,0.038,0.012,0.418,0.155,0.088,19.0,0.0,18.0,0.0,0.02,,6.0,0.17,10.0,11.0,228.0,18.0,0.09,0.024,0.027,0.7
Grape (Green),fruit,Grape,174683,69.0,0.72,0.16,18.1,0.9,15.48,80.54,3.0,0.069,0.07,0.188,0.05,0.086,2.0,0.0,3.2,0.0,0.19,,10.0,0.36,7.0,20.0,191.0,2.0,0.07,0.127,0.071,0.1
Grape (Red),fruit,Grape,174683,69.0,0.72,0.16,18.1,0.9,15.48,80.54,3.0,0.069,0.07,0.188,0.05,0.086,2.0,0.0,3.2,0.0,0.19,,10.0,0.36,7.0,20.0,191.0,2.0,0.07,0.127,0.071,0.1
Date (Medjool),fruit,Other,168191,277.0,1.81,0.15,74.97,6.7,66.47,21.32,7.0,0.05,0.06,1.61,0.805,0.249,15.0,,0.0,0.0,,,64.0,0.9,54.0,62.0,696.0,1.0,0.44,0.362,0.296,
Date (Deglet Noor),fruit,Other,171726,282.0,2.45,0.39,75.03,8.0,63.35,20.53,0.0,0.052,0.066,1.274,0.589,0.165,19.0,0.0,0.4,0.0,0.05,,39.0,1.02,43.0,62.0,656.0,2.0,0.29,0.206,0.262,3.0
Avocado,fruit,Other,171706,167.0,1.96,15.41,8.64,6.8,0.3,72.33,7.0,0.075,0.143,1.912,1.463,0.287,89.0,0.0,8.8,0.0,1.97,,13.0,0.61,29.0,54.0,507.0,8.0,0.68,0.17,0.149,0.4
Zucchini,fruit,Other,169291,17.0,1.21,0.32,3.11,1.0,2.5,94.79,10.0,0.045,0.094,0.451,0.204,0.163,24.0,0.0,17.9,0.0,0.12,,16.0,0.37,18.0,38.0,261.0,8.0,0.32,0.053,0.177,0.2
Cucumber,fruit,Other,168409,15.0,0.65,0.11,3.63,0.5,1.67,95.23,5.0,0.027,0.033,0.098,0.259,0.04,7.0,0.0,2.8,0.0,0.03,,16.0,0.28,13.0,24.0,147.0,2.0,0.2,0.041,0.079,0.3
Tomatillo,fruit,Other,168566,32.0,0.96,1.02,5.84,1.9,3.93,91.63,6.0,0.044,0.035,1.85,0.15,0.056,7.0,0.0,11.7,0.0,0.38,,7.0,0.62,20.0,39.0,268.0,1.0,0.22,0.079,0.153,0.5
Carrot,vegetable,Root,170393,41.0,0.93,0.24,9.58,2.8,4.74,88.29,835.0,0.066,0.058,0.983,0.273,0.138,19.0,0.0,5.9,0.0,0.66,,33.0,0.3,12.0,35.0,320.0,69.0,0.24,0.045,0.143,0.1
Beet,vegetable,Root,169145,43.0,1.61,0.17,9.56,2.8,6.76,87.58,2.0,0.031,0.04,0.334,0.155,0.067,109.0,0.0,4.9,0.0,0.04,,16.0,0.8,23.0,40.0,325.0,78.0,0.35,0.075,0.329,0.7
Sweet Potato,vegetable,Root,168482,86.0,1.57,0.05,20.12,3.0,4.18,77.28,709.0,0.078,0.061,0.557,0.8,0.209,11.0,0.0,2.4,0.0,0.26,,30.0,0.61,25.0,47.0,337.0,55.0,0.3,0.151,0.258,0.6
Turnip,vegetable,Root,170465,28.0,0.9,0.1,6.43,1.8,3.8,91.87,0.0,0.04,0.03,0.4,0.2,0.09,15.0,0.0,21.0,0.0,0.03,,30.0,0.3,11.0,27.0,191.0,67.0,0.27,0.085,0.134,0.7
Parsnip,vegetable,Root,170417,75.0,1.2,0.3,17.99,4.9,4.8,79.53,0.0,0.09,0.05,0.7,0.6,0.09,67.0,0.0,17.0,0.0,1.49,,36.0,0.59,29.0,71.0,375.0,10.0,0.59,0.12,0.56,1.8
Radish,vegetable,Root,169276,16.0,0.68,0.1,3.4,1.6,1.86,95.27,0.0,0.012,0.039,0.254,0.165,0.071,25.0,0.0,14.8,0.0,0.0,,25.0,0.34,10.0,20.0,233.0,39.0,0.28,0.05,0.069,0.6
Rutabaga,vegetable,Root,168454,37.0,1.08,0.16,8.62,2.3,4.46,89.43,0.0,0.09,0.04,0.7,0.16,0.1,21.0,0.0,25.0,0.0,0.3,,43.0,0.44,20.0,53.0,305.0,12.0,0.24,0.032,0.131,0.7
Kale,vegetable,Leafy Green,168421,35.0,2.92,1.49,4.42,4.1,0.99,89.63,241.0,0.113,0.347,1.18,0.37,0.147,62.0,0.0,93.4,0.0,0.66,0.0,254.0,1.6,33.0,55.0,348.0,53.0,0.39,0.053,0.92,0.9
Lettuce (Romaine),vegetable,Leafy Green,169247,17.0,1.23,0.3,3.29,2.1,1.19,94.61,436.0,0.072,0.067,0.313,0.142,0.074,136.0,0.0,4.0,0.0,0.13,,33.0,0.97,14.0,30.0,247.0,8.0,0.23,0.048,0.155,0.4
Lettuce (Iceberg),vegetable,Leafy Green,169248,14.0,0.9,0.14,2.97,1.2,1.97,95.64,25.0,0.041,0.025,0.123,0.091,0.042,29.0,0.0,2.8,0.0,0.18,,18.0,0.41,7.0,20.0,141.0,10.0,0.15,0.025,0.125,0.1
Collard Greens,vegetable,Leafy Green,170406,32.0,3.02,0.61,5.42,4.0,0.46,89.62,251.0,0.054,0.13,0.742,0.267,0.165,129.0,0.0,35.3,0.0,2.26,,232.0,0.47,27.0,25.0,213.0,17.0,0.21,0.046,0.658,1.3
Arugula,vegetable,Leafy Green,169387,25.0,2.58,0.66,3.65,1.6,2.05,91.71,119.0,0.044,0.086,0.305,0.437,0.073,97.0,0.0,15.0,0.0,0.43,,160.0,1.46,47.0,52.0,369.0,27.0,0.47,0.076,0.321,0.3
Broccoli,vegetable,Cruciferous,170379,34.0,2.82,0.37,6.64,2.6,1.7,89.3,31.0,0.071,0.117,0.639,0.573,0.175,63.0,0.0,89.2,0.0,0.78,,47.0,0.73,21.0,66.0,316.0,33.0,0.41,0.049,0.21,2.5
Cauliflower,vegetable,Cruciferous,169986,25.0,1.92,0.28,4.97,2.0,1.91,92.07,0.0,0.05,0.06,0.507,0.667,0.184,57.0,0.0,48.2,0.0,0.08,0.0,22.0,0.42,15.0,44.0,299.0,30.0,0.27,0.039,0.155,0.6
Brussels Sprouts,vegetable,Cruciferous,170383,43.0,3.38,0.3,8.95,3.8,2.2,86.0,38.0,0.139,0.09,0.745,0.309,0.219,61.0,0.0,85.0,0.0,0.88,,42.0,1.4,23.0,69.0,389.0,25.0,0.42,0.07,0.337,1.6
